VENDOR NO,SUPPLIER,SUPPLIER ADDRESS,CONTACT NAME   ,CONTACT E-MAIL ,PHONE / MOBILE,FAX NUMBER 
KLIK,KILAFLOOR,"WESTERN CORK LTD, PENARTH ROAD, CARDIFF, CF11 8YN",NO CONTACT,,0292 0376700,02920 383573
LEEDSPLY,LEEDS PLYWOOD & DOORS LTD,"MIDLAND ROAD , HUNSLET, LEEDS, LS10 2RJ",no contact ,sales@lpdfurniture.co.uk,0113 2715151,0113 2723944
MATHEW,MATHEWSON & ROSEMOND,"UNION MILLS, 9 DEWSBURY ROAD, LEEDS, LS11 5DE ",,,,
MBLOCK,MBLOCK,"M B LOCKING LOGISTICS GROUP LTD, FORGE HOUSE, 43/44 BURLEY ROAD, LEEDS, LS3 1JX   ",NO CONTACT ,,0113 2459559,0113 2459779
METCO,METCO 2000 LTD,"OFFSETT WORKS, MIDDLETON GROVE, LEEDS, LS11 5LP",DON ,,0771 0228862,N/A
MILFORD,MILFORD,"MILFORD BUILDERS MERCHANTS - CARDIGAN ROAD , HEADINGLEY, LEEDS, LS6 1LF ",no contact ,,0113 2789171,0113 2787281
MXGROUP,MXGROUP,"THE MX GROUP- ALPHA CLOSE, ALPHA DRIVE, TEWKSBURY IND EST, GLOUCESTER, GL20 8JF ",NO CONTACT ,,01684 293311,01684 293900
NICHOLS,NICHOLS & CLARKE,"41-51 FRESHWATER ROAD, CHADWELL HEATH, ROMFORD, ESSEX, RM8 1SP ",NO CONTACT,,01782 575727,N/A
PICKARD,PICKARDS,"PICKARD HARDWARE - PICKARD HOUSE, AIREDALE ROAD , KEIGHLEY,  BD214LW",Gareth Wilson ,Gareth@pickardhardware.com,01535 683108,01535 681919
PLUMBCALL,PLUMBCALL DIRECT ,"3 WEAVER STREET, LEEDS, LS4 2AU",BEN,,0113 2796622,0113 2793101
PORCELANOSA,PORSELANOSA YORKSHIRE LTD,"THE CARR, CARRIAGE DRIVE, DONCASTER,  DN45NT",NO CONTACT,,01302 341029,01302 304701
PPG,PPG ARCHITECTURAL COATINGS LTD,"AR SUPPORT HUDDERSFIELD ROAD, BATLEY, WF17 9XA",NO CONTACT,,0113 2440750,0113 2445313
PREHOUSE,PREMIER HOUSEWARES LLP,"PREMIER BUSINESS PARK, 55 JORDANVALE AVE, WHITEINTH, GLASGOW, G14 0QP",NO CONTACT ,info@premierhousewares.co.uk,0141 579 2000,0141 5792005
PREMIERB,PREMIER BEDS,"PREMIER BEDS LTD -268A BRADFORD ROAD, BATLEY , WF17 6HT",Majid ,sales@premier-beds.co.uk,01924 420683,01924 445563 
QA FLOORING,QA FLOORING SOLUTIONS LTD,"UNIT 2, HURRICANE DRIVE, LIVERPOOL, LS4 8RL",Austen,Austen.Wells@qaflooringsolutions.com,0151 4953434,N/A
SECONIQU,SECONIQUE,"SECONIQUE PLC - GLANDALE HOUSE, WODEN RD WEST, WEDNESBURY, WEST MIDLANDS, WS10 7SF",no contact ,sales@seconique.co.uk,0121 506 4888,NA
SOFA,SOFA SOURCE,"SOFA SOURCE UK LTD - VINE MILL, BROOKSIDE IND EST, BROOKESIDE STREET, OSWALDTWISTLE, BB53PX",Nigel ,nigel@sofasource.co.uk,07799 062747 ,N/A 
SONIC,SONIC MEGASTORE,"INGLEBY ROAD, BRADFORD, ",AJAY / CHARLOTTE,charlottte.waddingham@sonicdirect.co.uk,01274 575000 ,N/A
STS,SPECIALIST TILE SUPPLIES,"UNIT 5, WORTLEY MOOR LANE , LEEDS, LS12 4HX",NO CONTACT ,,0113 2022010,N/A
WELCOME,WELCOME,"WELCOME FURNITURE LTD - CIBYN IND EST, CAERNARFON, GWYNEDD, LL55 2BD",Stephen Bradley ,sbradley7711@gmail.com,07956 676738,N/A 
WOODLAND,WOODLANDS HOMECARE LTD,"STATION ROAD, HORSFORTH, LEEDS, LS18 5NZ",NO CONTACT,,0113 2584326,0113 2590135
